batch_size,vocab_size,k,implementation,mean_ms,p50_ms,p90_ms,p99_ms,p999_ms,min_ms,max_ms,std_ms,tokens_per_sec,samples_per_sec,effective_bandwidth_gbps
1,32000,50,Fast TopK,0.0432216,0.042,0.0451,0.06943299999999997,0.09220680000000023,0.0398,0.0956,0.005176988839083971,740370555.4630092,23136.57985821904,2.961482221852037
1,32000,50,CPU Torch,0.1732038,0.20325,0.2086,0.22800600000000001,0.23871120000000037,0.1305,0.2443,0.03568197816209185,184753452.29146242,5773.545384108201,0.7390138091658497
1,32000,50,CUDA Torch,0.06883577726781369,0.06860800087451935,0.06963200122117996,0.07049664035439492,0.07408108956366781,0.06656000018119812,0.07462400197982788,0.0007696167344091976,464874535.74469334,14527.329242021666,1.8594981429787734
1,128000,50,Fast TopK,0.0574156,0.0567,0.06031,0.06981599999999999,0.0815503,0.0536,0.0817,0.0029853570372737662,2229359268.21282,17416.86928291266,8.91743707285128
1,128000,50,CPU Torch,0.7772764,0.7723,0.78732,0.8699609999999998,2.7729723000000908,0.6646,4.1314,0.15541744729289567,164677584.44743723,1286.5436284956033,0.6587103377897489
1,128000,50,CUDA Torch,0.08569708675146102,0.08499199897050858,0.08591999858617783,0.08807424001395701,0.2734366676807413,0.08316799998283386,0.2877439856529236,0.012022971239677379,1493633037.622691,11669.008106427273,5.974532150490764
1,256000,50,Fast TopK,0.0792728,0.0776,0.0838,0.10632699999999998,0.11995330000000011,0.0743,0.1216,0.005377618446859167,3229354835.4542794,12614.66732599328,12.917419341817117
1,256000,50,CPU Torch,1.5585280000000004,1.5235500000000002,1.54793,2.4985549999999996,2.9517399000000064,1.5022,3.0465,0.1648237546471988,164257555.84756893,641.6310775295661,0.6570302233902757
1,256000,50,CUDA Torch,0.1120064001828432,0.11150399968028069,0.11161600053310394,0.115722241923213,0.2944194476306445,0.10956799983978271,0.3041279911994934,0.011696904306193415,2285583677.201451,8928.061239068167,9.142334708805803
4,32000,50,Fast TopK,0.08708800000000001,0.0866,0.08961,0.09553299999999997,0.11780400000000009,0.082,0.119,0.003240173246396968,1469777696.123461,45930.55300385816,5.879110784493844
4,32000,50,CPU Torch,0.16315399999999997,0.1502,0.20770000000000002,0.22096099999999996,0.2597103,0.1415,0.2598,0.024888549254627117,784534856.6385134,24516.714269953547,3.1381394265540536
4,32000,50,CUDA Torch,0.08392853488524755,0.07356800138950348,0.0972864031791687,0.13829120174050233,0.2947183269858363,0.07091200351715088,0.2980479896068573,0.0231659685230795,1525107047.0253026,47659.59521954071,6.100428188101211
4,128000,50,Fast TopK,0.15407366666666666,0.15305000000000002,0.15984,0.17422299999999996,0.18104320000000007,0.1262,0.182,0.0061870407483887,3323085710.0824065,25961.607110018802,13.292342840329626
4,128000,50,CPU Torch,1.573066,1.5077,1.80519,1.9507659999999996,2.0526024000000005,1.3504,2.0593,0.14838358257345496,325479032.66614366,2542.8049427042474,1.3019161306645746
4,128000,50,CUDA Torch,0.10678250486652056,0.1013759970664978,0.1228799968957901,0.15914848148822747,0.292661355733872,0.10035199671983719,0.30000001192092896,0.018783020169430266,4794792935.79043,37459.31981086273,19.17917174316172
16,32000,50,Fast TopK,0.2749315,0.2734,0.28192,0.296304,0.30575130000000017,0.2661,0.308,0.005854866159870779,1862282059.3493288,58196.31435466652,7.449128237397315
16,32000,50,CPU Torch,0.3928045,0.39515,0.46291,0.564838,0.5813359000000002,0.2738,0.5845,0.06039672697878586,1303447389.222883,40732.7309132151,5.213789556891532
16,32000,50,CUDA Torch,0.08410031829029321,0.08108799904584885,0.08294399827718735,0.11473920159041877,0.24694272457063454,0.0798719972372055,0.27852800488471985,0.015179034895721647,6087967446.5999565,190248.98270624864,24.351869786399828
16,128000,50,Fast TopK,0.535964,0.5336,0.54808,0.5725969999999999,0.5922926000000002,0.52,0.5948,0.010590434551990775,3821152166.9365854,29852.751304192072,15.284608667746342
16,128000,50,CPU Torch,5.608870999999999,5.56145,5.9693499999999995,6.527735,13.688646200000145,4.636,15.457,0.7809039484206748,365135871.3723315,2852.62399509634,1.460543485489326
16,128000,50,CUDA Torch,0.1392598383873701,0.1382399946451187,0.13926400244235992,0.14162944316863985,0.28132556334138137,0.13619199395179749,0.30822399258613586,0.012260963410725145,14706321820.532425,114893.13922290957,58.8252872821297
64,32000,50,Fast TopK,1.0196770000000002,1.0176500000000002,1.03657,1.0456480000000001,1.0499248,0.9984,1.0504,0.010936204597574061,2008479155.6541922,62764.97361419351,8.033916622616768
64,32000,50,CPU Torch,1.076607,1.08995,1.2487500000000002,1.3653050000000004,1.4192105000000006,0.7461,1.4252,0.14684947208281005,1902272602.7231848,59446.01883509953,7.6090904108927395
64,32000,50,CUDA Torch,0.14191647857427597,0.14028799533843994,0.14144640266895295,0.14500864371657457,0.2919024576991814,0.1382399946451187,0.30822399258613586,0.016749687706763865,14431023236.869013,450969.47615215665,57.72409294747605
64,128000,50,Fast TopK,2.101778,2.0843,2.14781,2.371810000000001,2.479621000000001,2.0547,2.4916,0.05674524047001653,3897652368.6136217,30450.40912979392,15.590609474454487
64,128000,50,CPU Torch,7.156187000000001,7.11575,7.51969,10.160609000000001,10.286150900000003,5.926,10.3001,0.5507233669738374,1144743702.1978323,8943.310173420565,4.57897480879133
64,128000,50,CUDA Torch,0.3747164794802666,0.3758080005645752,0.37785598635673523,0.3788803142309189,0.37890883308649065,0.3675839900970459,0.3789120018482208,0.0035958753711923417,21861862097.344475,170795.79763550372,87.4474483893779
128,32000,50,Fast TopK,2.0214450000000004,2.02015,2.04684,2.0688400000000002,2.0813140000000003,1.9887,2.0827,0.017778207868061405,2026273284.7047532,63321.04014702354,8.105093138819013
128,32000,50,CPU Torch,1.9115829999999996,1.94375,2.0977200000000003,2.250493,2.2587793,1.23,2.2597,0.17843437732398992,2142726734.8579688,66960.21046431153,8.570906939431875
128,32000,50,CUDA Torch,0.5897481685876846,0.5908480286598206,0.5928959846496582,0.5959884881973266,0.5978132700920106,0.5734400153160095,0.5980160236358643,0.003655664207743845,6945337379.866743,217041.7931208357,27.78134951946697
128,128000,50,Fast TopK,4.156307,4.1366499999999995,4.21785,4.411512,4.474951200000001,4.0876,4.482,0.06402186385134377,3941960976.4148803,30796.570128241252,15.767843905659522
128,128000,50,CPU Torch,9.729061,9.63195,10.414240000000001,11.421461,11.667466100000004,8.9133,11.6948,0.5269855971267147,1684026855.2124405,13156.459806347191,6.736107420849762
128,128000,50,CUDA Torch,0.6302860790491104,0.5713919997215271,0.9749311745166779,0.9892323416471481,0.993537626683712,0.5652480125427246,0.9940159916877747,0.13608962792190155,25994545246.371212,203082.38473727508,103.97818098548485
256,32000,50,Fast TopK,4.072694,4.0633,4.12177,4.185826,4.2046126,4.0098,4.2067,0.03888380336335425,2011445004.2158828,62857.65638174633,8.045780016863532
256,32000,50,CPU Torch,3.7576940000000003,3.7845,3.97028,4.033084,4.0500184,3.0274,4.0519,0.19875434527073862,2180060430.679028,68126.88845871962,8.720241722716112
256,32000,50,CUDA Torch,0.8232524859905243,0.8232960104942322,0.8265727758407593,0.8366694623231887,0.8393789606690407,0.8161280155181885,0.839680016040802,0.003924857304224164,9950774688.695312,310961.7090217285,39.80309875478125
256,128000,50,Fast TopK,8.378978,8.29905,8.62152,9.031611999999999,9.151211200000002,8.2074,9.1645,0.1831437809918753,3910739472.0453973,30552.652125354667,15.64295788818159
256,128000,50,CPU Torch,16.163166,16.2065,17.01184,18.034522,18.357422200000006,14.2962,18.3933,0.7898877093891259,2027325587.0786703,15838.48114905211,8.109302348314682
256,128000,50,CUDA Torch,1.000455038547516,0.9994239807128906,1.0096864342689513,1.0142713272571564,1.01565432035923,0.9871360063552856,1.0158079862594604,0.006186927908116912,32753096078.73368,255883.56311510687,131.01238431493474
512,32000,50,Fast TopK,8.07911,8.0684,8.15362,8.267242,8.3087842,7.9531,8.3134,0.05853842925805247,2027946147.5335772,63373.31711042429,8.11178459013431
512,32000,50,CPU Torch,7.159831999999999,7.2213,7.41983,7.760973999999999,7.971507400000004,6.2241,7.9949,0.2979803627355333,2288321848.8925443,71510.05777789201,9.153287395570176
512,32000,50,CUDA Torch,0.5854534423351287,0.5856800079345703,0.5888000130653381,0.591144968867302,0.5915401210188865,0.5803840160369873,0.5915840268135071,0.0025619523698198338,27985145897.598763,874535.8092999613,111.94058359039505
512,128000,50,Fast TopK,16.88361,16.770049999999998,17.37784,18.010807999999997,18.0949508,16.4855,18.1043,0.3791191207259268,3881634318.72686,30325.268115053594,15.52653727490744
512,128000,50,CPU Torch,27.906799999999997,28.2616,29.332910000000002,29.53984,29.554834,23.56,29.5565,1.3850482289075714,2348388206.458641,18346.782862958135,9.393552825834565
512,128000,50,CUDA Torch,34.64053253889084,50.020273208618164,51.71674156188965,67.41784477233882,76.25360774993912,1.7797119617462158,77.23535919189453,23.888017423235507,1891887774.1392372,14780.37323546279,7.567551096556949
